,0
136,https://leetcode.com/problems/3sum-closest
137,https://leetcode.com/problems/rotate-list
138,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
139,https://leetcode.com/problems/basic-calculator-ii
140,https://leetcode.com/problems/combination-sum-iv
141,https://leetcode.com/problems/insert-delete-getrandom-o1
142,https://leetcode.com/problems/non-overlapping-intervals
143,https://leetcode.com/problems/minimum-window-substring
144,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
145,https://leetcode.com/problems/trapping-rain-water
146,https://leetcode.com/problems/find-median-from-data-stream
147,https://leetcode.com/problems/word-ladder
148,https://leetcode.com/problems/basic-calculator
149,https://leetcode.com/problems/maximum-profit-in-job-scheduling
150,https://leetcode.com/problems/merge-k-sorted-lists
151,https://leetcode.com/problems/largest-rectangle-in-histogram
152,https://leetcode.com/problems/binary-tree-maximum-path-sum
153,https://leetcode.com/problems/maximum-frequency-stack
154,https://leetcode.com/problems/median-of-two-sorted-arrays
155,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
156,https://leetcode.com/problems/longest-valid-parentheses
157,https://leetcode.com/problems/design-in-memory-file-system
158,https://leetcode.com/problems/employee-free-time
159,https://leetcode.com/problems/word-search-ii
160,https://leetcode.com/problems/alien-dictionary
161,https://leetcode.com/problems/bus-routes
162,https://leetcode.com/problems/sliding-window-maximum
163,https://leetcode.com/problems/palindrome-pairs
164,https://leetcode.com/problems/reverse-nodes-in-k-group
165,https://leetcode.com/problems/sudoku-solver
166,https://leetcode.com/problems/first-missing-positive
167,https://leetcode.com/problems/n-queens
168,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
